,Unnamed: 0,TIMESTAMP,RECORD,Batt_volt_Min,PTemp,scale(1),scale(2),A4_10,A4_20,A4_40,B3_10,B3_20,B3_40,A5_20,A5_10,A5_40,B6_10,B6_20,B6_40,A7_10,A7_20,A7_40,B8_10,B8_20,B8_40,TDTEC(1),TDTEC(2),TDTEC(3),TDTEC(4),TDTEC(5),TDTEC(6),TDTEC(7),TDTEC(8),TDTEC(9),TDTEC(10),TDTEC(11),TDTEC(12),TDTEC(13),TDTEC(14),TDTEC(15),TDTEC(16),TDTEC(17),TDTEC(18),TDTTEMP(1),TDTTEMP(2),TDTTEMP(3),TDTTEMP(4),TDTTEMP(5),TDTTEMP(6),TDTTEMP(7),TDTTEMP(8),TDTTEMP(9),TDTTEMP(10),TDTTEMP(11),TDTTEMP(12),TDTTEMP(13),TDTTEMP(14),TDTTEMP(15),TDTTEMP(16),TDTTEMP(17),TDTTEMP(18),wc_A10_mean,wc_B10_mean,wc_A20_mean,wc_B20_mean,wc_A40_mean,wc_B40_mean
0,3324.0,2024-11-19 00:00:00,3321,13.89,19.66,15.9502944946289,16.2470092773437,17.63,19.15,38.6,13.08,13.08,20.55,16.04,14.86,37.92,15.92,25.56,36.79,16.75,22.37,37.35,13.68,16.92,32.9,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.39,0.0,0.0,0.14,0.0,0.0,0.3,15.93,17.21,17.72,16.41,17.39,17.72,17.31,16.0,17.87,16.21,17.39,17.77,15.41,17.16,18.0,15.8,17.1,17.7,0.1641333333333333,0.1422666666666666,0.1918666666666666,0.1852,0.3795666666666667,0.3008
1,3328.0,2024-11-19 01:00:00,3325,13.89,18.98,15.9469985961914,16.173225402832,17.33,19.33,38.26,13.2,13.26,20.55,16.04,14.86,37.52,15.92,25.79,36.79,16.92,22.08,37.47,13.5,16.98,32.9,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.37,0.0,0.0,0.14,0.0,0.0,0.3,15.46,16.69,17.16,15.87,16.85,17.16,16.8,15.46,17.39,15.72,16.87,17.31,14.93,16.72,17.59,15.31,16.64,17.2,0.1637,0.1420666666666666,0.1914999999999999,0.1867666666666666,0.3775,0.3008
2,3332.0,2024-11-19 02:00:00,3329,13.89,18.67,15.9401779174805,16.1747283935547,17.45,18.8,38.31,13.15,13.08,20.5,15.75,14.8,37.47,15.92,25.62,37.8,16.92,22.19,37.47,13.79,16.98,32.9,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.35,0.0,0.0,0.13,0.0,0.0,0.3,15.08,16.21,16.72,15.44,16.34,16.69,16.31,15.11,16.87,15.34,16.46,16.87,14.67,16.31,17.16,15.0,16.23,16.8,0.1639,0.1428666666666666,0.1891333333333333,0.1856,0.3775,0.3039999999999999
3,3336.0,2024-11-19 03:00:00,3333,13.89,18.38,15.8680725097656,16.1250991821289,17.27,19.04,38.43,12.91,13.02,20.55,15.86,14.74,38.37,15.8,25.73,37.18,16.8,21.72,37.47,13.5,17.69,32.8,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.33,0.0,0.0,0.12,0.0,0.0,0.3,14.93,15.8,16.34,15.08,15.87,16.23,15.93,14.77,16.49,15.03,16.03,16.49,14.31,15.9,16.8,14.7,15.87,16.4,0.1626999999999999,0.1407,0.1887333333333333,0.1881333333333333,0.3808999999999999,0.3017666666666667
4,3340.0,2024-11-19 04:00:00,3337,13.89,17.87,15.9004058837891,16.069206237793,17.27,19.21,38.26,12.97,13.08,20.5,15.75,14.74,37.47,15.8,25.56,36.56,16.51,21.54,37.52,13.91,16.62,32.8,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.45,0.0,0.0,0.12,0.0,0.0,0.3,14.29,15.39,15.82,14.62,15.46,15.8,15.49,14.34,16.03,14.62,15.64,16.05,13.82,15.54,16.41,14.21,15.46,16.1,0.1617333333333333,0.1422666666666666,0.1883333333333333,0.1842,0.3775,0.2995333333333333
5,3344.0,2024-11-19 05:00:00,3341,13.89,17.37,15.8763961791992,15.9776763916016,17.22,18.8,38.54,12.91,13.02,20.5,15.86,14.74,37.52,15.75,25.62,37.18,16.1,21.67,37.58,13.91,16.98,32.8,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.29,0.0,0.0,0.1,0.0,0.0,0.3,13.82,14.95,15.31,14.16,15.0,15.34,15.05,13.8,15.59,14.16,15.21,15.59,13.39,15.11,16.0,13.77,15.08,15.7,0.1602,0.1419,0.1877666666666666,0.1854,0.3788,0.3016
6,3348.0,2024-11-19 06:00:00,3345,13.89,16.87,15.8176651000977,15.9873199462891,17.16,18.92,38.6,13.08,13.02,20.5,15.92,14.74,37.8,15.86,25.62,37.3,16.39,21.43,37.7,13.79,17.22,32.8,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.34,0.0,0.0,0.06,0.0,0.0,0.3,13.52,14.49,14.87,13.7,14.54,14.85,14.57,13.34,15.11,13.7,14.77,15.16,12.87,14.7,15.59,13.31,14.59,15.2,0.1609666666666666,0.1424333333333333,0.1875666666666667,0.1862,0.3803333333333334,0.302
7,3352.0,2024-11-19 07:00:00,3349,13.88,16.35,15.7888259887695,15.8822555541992,17.16,18.68,38.37,12.97,13.02,20.26,15.39,14.68,37.8,15.57,25.21,37.02,16.57,20.91,37.63,13.44,16.69,32.5,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.33,0.0,0.0,0.1,0.0,0.0,0.3,12.97,14.03,14.57,13.18,14.05,14.36,14.08,12.87,14.64,13.23,14.31,14.7,12.45,14.23,15.16,12.82,14.16,14.7,0.1613666666666666,0.1399333333333333,0.1832666666666667,0.1830666666666666,0.3793333333333333,0.2992666666666667
8,3356.0,2024-11-19 08:00:00,3353,13.89,16.03,15.7748641967773,15.7544937133789,17.09,18.68,38.71,12.91,12.84,20.26,15.57,14.62,37.7,15.51,24.98,37.07,16.15,21.02,37.7,13.38,17.39,32.3,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.34,0.0,0.0,0.09,0.0,0.0,0.3,12.45,13.54,13.85,12.76,13.54,13.9,13.62,12.51,14.16,12.79,13.8,14.21,12.17,13.82,14.72,12.48,13.7,14.3,0.1595333333333333,0.1393333333333333,0.1842333333333333,0.1840333333333333,0.3803666666666667,0.2987666666666666
9,3360.0,2024-11-19 09:00:00,3357,13.89,16.33,15.7039566040039,15.9317016601562,17.04,18.68,38.6,12.97,12.91,20.14,15.21,14.57,37.92,15.39,24.63,37.41,0.0,20.68,37.7,13.26,16.86,32.1,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.26,0.0,0.0,0.1,0.0,0.0,0.3,12.64,13.18,13.47,12.82,13.21,13.52,13.28,12.74,13.77,12.84,13.54,13.9,0.0,13.49,14.31,12.79,13.36,14.0,0.1053666666666666,0.1387333333333333,0.1819,0.1813333333333333,0.3807333333333333,0.2988333333333333
10,3364.0,2024-11-19 10:00:00,3361,13.89,17.56,15.6661834716797,15.8235397338867,16.98,18.39,38.48,12.79,12.84,20.26,15.1,14.39,37.86,15.33,24.34,37.24,16.1,20.55,37.7,13.26,16.69,32.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.35,0.0,0.0,0.1,0.0,0.0,0.3,13.49,13.26,13.41,13.52,13.21,13.54,13.39,13.77,13.8,13.67,13.62,13.88,14.11,13.57,14.11,13.75,13.47,14.0,0.1582333333333333,0.1379333333333333,0.1801333333333333,0.1795666666666666,0.3801333333333334,0.2983333333333333
11,3368.0,2024-11-19 11:00:00,3365,13.88,19.33,15.6943969726563,15.7002410888672,16.86,18.8,38.93,12.84,12.84,20.09,15.21,14.26,38.03,15.21,24.51,37.18,15.62,20.32,37.7,13.08,16.39,31.8,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.36,0.0,0.0,0.1,0.0,0.0,0.3,14.95,13.82,13.75,14.64,13.67,13.9,13.93,15.16,14.13,15.05,14.16,14.21,15.72,14.16,14.23,15.18,14.03,14.4,0.1558,0.1371,0.1811,0.1791333333333333,0.3822,0.2969
12,3372.0,2024-11-19 12:00:00,3369,13.89,21.47,15.7150650024414,15.5440673828125,16.75,18.5,39.11,12.67,12.73,19.97,14.92,13.97,37.86,15.1,24.23,36.95,15.57,20.09,37.58,13.2,16.22,31.6,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.33,0.0,0.0,0.09,0.0,0.0,0.3,16.59,14.82,14.36,16.21,14.52,14.64,14.9,16.92,14.77,16.69,15.03,14.77,17.59,15.05,14.62,16.82,15.0,15.0,0.1543,0.1365666666666666,0.1783666666666667,0.1772666666666666,0.3818333333333333,0.2950666666666667
13,3376.0,2024-11-19 13:00:00,3373,13.89,22.93,15.5109329223633,15.4563217163086,16.69,18.27,38.54,12.61,12.79,19.91,14.8,13.86,37.7,14.97,24.17,37.02,15.62,19.91,37.58,13.26,15.98,31.4,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.31,0.0,0.0,0.1,0.0,0.0,0.3,17.64,15.95,15.13,17.69,15.64,15.52,15.98,18.51,15.59,17.74,16.0,15.52,19.31,16.18,15.26,18.1,16.03,15.8,0.1539,0.1361333333333333,0.1766,0.1764666666666666,0.3794,0.2944333333333334
14,3380.0,2024-11-19 14:00:00,3377,13.65,24.66,15.4818344116211,15.3716659545898,16.69,17.98,38.43,12.44,12.61,20.09,14.68,13.73,37.58,14.86,24.23,36.9,14.8,19.97,37.24,12.97,16.39,31.2,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.4,0.0,0.0,0.12,0.0,0.0,0.3,18.44,17.03,16.1,19.03,16.85,16.54,17.16,19.78,16.57,18.54,16.98,16.36,20.29,17.36,16.03,18.74,17.13,16.6,0.1507333333333333,0.1342333333333333,0.1754333333333333,0.1774333333333333,0.3775,0.2939666666666666
15,3384.0,2024-11-19 15:00:00,3381,13.89,25.43,15.4093627929688,15.240119934082,16.75,18.74,38.26,12.55,12.55,19.85,14.74,14.03,37.18,14.92,23.71,36.95,15.98,19.74,37.3,12.79,15.75,31.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.38,0.0,0.0,0.12,0.0,0.0,0.3,19.36,17.98,17.1,19.96,17.95,17.51,18.33,20.78,17.74,19.31,17.95,17.36,20.75,18.33,16.85,19.39,18.0,17.4,0.1558666666666666,0.1341999999999999,0.1773999999999999,0.1733666666666667,0.3757999999999999,0.293
16,3388.0,2024-11-19 16:00:00,3385,13.89,25.76,15.3774032592773,15.2185592651367,16.62,18.27,38.37,12.44,12.67,19.91,14.74,13.79,37.52,14.8,23.82,37.02,15.86,19.74,37.3,12.73,15.75,31.1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.36,0.0,0.0,0.14,0.0,0.0,0.3,19.83,18.8,17.87,20.42,18.9,18.46,19.36,21.06,18.77,20.09,19.0,18.36,20.57,19.0,17.62,19.59,18.67,18.1,0.1542333333333333,0.1332333333333333,0.1758333333333333,0.1741333333333333,0.3772999999999999,0.2934333333333333
17,3392.0,2024-11-19 17:00:00,3389,13.74,25.97,15.3162689208984,15.0624847412109,16.98,18.16,38.6,12.26,12.67,20.09,14.74,13.68,37.35,14.8,23.82,36.62,15.44,20.14,37.24,12.55,16.04,31.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.41,0.0,0.0,0.14,0.0,0.0,0.3,19.83,19.44,18.72,20.52,19.67,19.31,20.09,21.06,19.52,20.42,19.85,19.1,20.21,19.49,18.31,19.54,19.13,18.7,0.1536666666666666,0.1320333333333333,0.1767999999999999,0.1751,0.3772999999999999,0.2923666666666666
18,3396.0,2024-11-19 18:00:00,3393,13.89,23.28,15.1662826538086,14.9545288085938,16.51,17.8,38.31,12.44,12.67,19.74,14.62,13.73,36.95,14.74,23.35,36.84,15.27,19.62,37.3,12.73,15.86,30.8,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.31,0.0,0.0,0.14,0.0,0.0,0.3,19.36,19.65,19.26,20.11,19.93,19.7,20.21,20.29,19.85,19.98,19.98,19.46,19.08,19.49,18.82,18.92,19.26,19.0,0.1517,0.1330333333333333,0.1734666666666666,0.1729333333333333,0.3752,0.2912666666666667
19,3400.0,2024-11-19 19:00:00,3397,13.89,23.06,15.0955276489258,14.9145126342773,16.51,18.1,38.43,12.31,12.55,19.74,14.5,13.62,36.95,14.62,23.01,36.79,15.51,19.33,37.3,12.31,15.75,30.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.31,0.0,0.0,0.14,0.0,0.0,0.3,18.77,19.49,19.18,19.54,19.85,19.72,19.93,19.39,19.85,19.26,19.75,19.46,18.21,19.28,19.05,18.28,19.08,19.0,0.1521333333333333,0.1308,0.1730999999999999,0.1710333333333333,0.3755999999999999,0.2907666666666667
20,3404.0,2024-11-19 20:00:00,3401,13.89,22.54,15.071662902832,14.8025360107422,16.57,18.1,38.54,11.96,12.61,20.14,14.57,13.62,36.95,14.62,23.3,37.02,15.68,19.44,37.24,12.31,15.62,30.7,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.33,0.0,0.0,0.15,0.0,0.0,0.3,18.15,19.13,19.18,18.95,19.54,19.54,19.52,18.64,19.62,18.62,19.36,19.26,17.57,18.9,19.05,17.77,18.77,18.9,0.1528999999999999,0.1296333333333333,0.1737,0.1717666666666666,0.3757666666666667,0.2928666666666666
