 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    

 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     T     T     F     F     T     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.179    1    1   0.105    1.000    1.000    1.000   20.00  0.3399E+02
   2     -1.000      0.180    1    1   0.100    1.000    1.000    1.000   20.00  0.3135E+02
   3     -2.000      0.182    1    1   0.094    1.000    1.000    1.000   20.00  0.2912E+02
   4     -3.000      0.184    1    1   0.089    1.000    1.000    1.000   20.00  0.2743E+02
   5     -4.000      0.186    1    1   0.083    1.000    1.000    1.000   20.00  0.2614E+02
   6     -5.000      0.187    1    1   0.078    1.000    1.000    1.000   20.00  0.2511E+02
   7     -6.000      0.189    1    1   0.072    1.000    1.000    1.000   20.00  0.2424E+02
   8     -7.000      0.191    1    1   0.066    1.000    1.000    1.000   20.00  0.2344E+02
   9     -8.000      0.192    1    1   0.061    1.000    1.000    1.000   20.00  0.2270E+02
  10     -9.000      0.194    1    1   0.055    1.000    1.000    1.000   20.00  0.2200E+02
  11    -10.000      0.196    1    1   0.050    1.000    1.000    1.000   20.00  0.2137E+02
  12    -11.000      0.198    1    1   0.044    1.000    1.000    1.000   20.00  0.2080E+02
  13    -12.000      0.200    1    1   0.039    1.000    1.000    1.000   20.00  0.2029E+02
  14    -13.000      0.202    1    1   0.033    1.000    1.000    1.000   20.00  0.1987E+02
  15    -14.000      0.204    1    1   0.028    1.000    1.000    1.000   20.00  0.1955E+02
  16    -15.000      0.206    1    1   0.022    1.000    1.000    1.000   20.00  0.1934E+02
  17    -16.000      0.209    1    1   0.017    1.000    1.000    1.000   20.00  0.1922E+02
  18    -17.000      0.211    1    1   0.011    1.000    1.000    1.000   20.00  0.1917E+02
  19    -18.000      0.213    1    1   0.006    1.000    1.000    1.000   20.00  0.1916E+02
  20    -19.000      0.215    1    1   0.000    1.000    1.000    1.000   20.00  0.1915E+02
  21    -20.000      0.218    1    1   0.000    1.000    1.000    1.000   20.00  0.1909E+02
  22    -21.000      0.221    1    1   0.000    1.000    1.000    1.000   20.00  0.1901E+02
  23    -22.000      0.223    1    1   0.000    1.000    1.000    1.000   20.00  0.1893E+02
  24    -23.000      0.226    1    1   0.000    1.000    1.000    1.000   20.00  0.1885E+02
  25    -24.000      0.229    1    1   0.000    1.000    1.000    1.000   20.00  0.1876E+02
  26    -25.000      0.232    1    1   0.000    1.000    1.000    1.000   20.00  0.1868E+02
  27    -26.000      0.235    1    1   0.000    1.000    1.000    1.000   20.00  0.1859E+02
  28    -27.000      0.238    1    1   0.000    1.000    1.000    1.000   20.00  0.1849E+02
  29    -28.000      0.241    1    1   0.000    1.000    1.000    1.000   20.00  0.1839E+02
  30    -29.000      0.245    1    1   0.000    1.000    1.000    1.000   20.00  0.1829E+02
  31    -30.000      0.248    1    1   0.000    1.000    1.000    1.000   20.00  0.1818E+02
  32    -31.000      0.252    1    1   0.000    1.000    1.000    1.000   20.00  0.1808E+02
  33    -32.000      0.255    1    1   0.000    1.000    1.000    1.000   20.00  0.1797E+02
  34    -33.000      0.259    1    1   0.000    1.000    1.000    1.000   20.00  0.1786E+02
  35    -34.000      0.263    1    1   0.000    1.000    1.000    1.000   20.00  0.1775E+02
  36    -35.000      0.267    1    1   0.000    1.000    1.000    1.000   20.00  0.1765E+02
  37    -36.000      0.271    1    1   0.000    1.000    1.000    1.000   20.00  0.1754E+02
  38    -37.000      0.276    1    1   0.000    1.000    1.000    1.000   20.00  0.1744E+02
  39    -38.000      0.280    1    1   0.000    1.000    1.000    1.000   20.00  0.1734E+02
  40    -39.000      0.284    1    1   0.000    1.000    1.000    1.000   20.00  0.1725E+02
  41    -40.000      0.289    1    1   0.000    1.000    1.000    1.000   20.00  0.1716E+02
  42    -41.000      0.293    1    1   0.000    1.000    1.000    1.000   20.00  0.1708E+02
  43    -42.000      0.298    1    1   0.000    1.000    1.000    1.000   20.00  0.1701E+02
  44    -43.000      0.302    1    1   0.000    1.000    1.000    1.000   20.00  0.1694E+02
  45    -44.000      0.306    1    1   0.000    1.000    1.000    1.000   20.00  0.1688E+02
  46    -45.000      0.310    1    1   0.000    1.000    1.000    1.000   20.00  0.1683E+02
  47    -46.000      0.313    1    1   0.000    1.000    1.000    1.000   20.00  0.1679E+02
  48    -47.000      0.317    1    1   0.000    1.000    1.000    1.000   20.00  0.1677E+02
  49    -48.000      0.319    1    1   0.000    1.000    1.000    1.000   20.00  0.1675E+02
  50    -49.000      0.320    1    1   0.000    1.000    1.000    1.000   20.00  0.1675E+02
end

 Number of species in the chain :   1


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.040  0.320   0.600E-01   0.160E+01   0.300E+01 -0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv

  0.3200  -0.100E-05 -0.6000E+01  0.4681E-06  0.3000E+01  0.4771E+00    1.0000  0.0000E+00
  0.3200  -0.126E-05 -0.5899E+01  0.5382E-06  0.3000E+01  0.4771E+00    1.0000  0.0000E+00
  0.3200  -0.159E-05 -0.5798E+01  0.6188E-06  0.3000E+01  0.4771E+00    1.0000  0.0000E+00
  0.3200  -0.201E-05 -0.5697E+01  0.7115E-06  0.3000E+01  0.4771E+00    1.0000  0.0000E+00
  0.3200  -0.254E-05 -0.5596E+01  0.8180E-06  0.3000E+01  0.4771E+00    1.0000  0.0000E+00
  0.3200  -0.320E-05 -0.5495E+01  0.9405E-06  0.2999E+01  0.4770E+00    1.0000  0.0000E+00
  0.3200  -0.404E-05 -0.5394E+01  0.1081E-05  0.2999E+01  0.4770E+00    1.0000  0.0000E+00
  0.3200  -0.509E-05 -0.5293E+01  0.1243E-05  0.2999E+01  0.4770E+00    1.0000  0.0000E+00
  0.3200  -0.643E-05 -0.5192E+01  0.1430E-05  0.2999E+01  0.4770E+00    1.0000  0.0000E+00
  0.3200  -0.811E-05 -0.5091E+01  0.1644E-05  0.2999E+01  0.4770E+00    1.0000  0.0000E+00
  0.3200  -0.102E-04 -0.4990E+01  0.1890E-05  0.2999E+01  0.4770E+00    1.0000  0.0000E+00
  0.3200  -0.129E-04 -0.4889E+01  0.2173E-05  0.2999E+01  0.4769E+00    1.0000  0.0000E+00
  0.3200  -0.163E-04 -0.4788E+01  0.2498E-05  0.2999E+01  0.4769E+00    1.0000  0.0000E+00
  0.3200  -0.206E-04 -0.4687E+01  0.2872E-05  0.2998E+01  0.4769E+00    1.0000  0.0000E+00
  0.3200  -0.260E-04 -0.4586E+01  0.3302E-05  0.2998E+01  0.4768E+00    1.0000  0.0000E+00
  0.3200  -0.327E-04 -0.4485E+01  0.3797E-05  0.2998E+01  0.4768E+00    1.0000  0.0000E+00
  0.3200  -0.413E-04 -0.4384E+01  0.4366E-05  0.2997E+01  0.4767E+00    1.0000  0.0000E+00
  0.3200  -0.521E-04 -0.4283E+01  0.5019E-05  0.2997E+01  0.4767E+00    1.0000  0.0000E+00
  0.3200  -0.658E-04 -0.4182E+01  0.5771E-05  0.2997E+01  0.4766E+00    1.0000  0.0000E+00
  0.3200  -0.830E-04 -0.4081E+01  0.6635E-05  0.2996E+01  0.4765E+00    1.0000  0.0000E+00
  0.3200  -0.105E-03 -0.3980E+01  0.7629E-05  0.2995E+01  0.4765E+00    1.0000  0.0000E+00
  0.3200  -0.132E-03 -0.3879E+01  0.8772E-05  0.2995E+01  0.4764E+00    1.0000  0.0000E+00
  0.3200  -0.167E-03 -0.3778E+01  0.1009E-04  0.2994E+01  0.4763E+00    1.0000  0.0000E+00
  0.3200  -0.210E-03 -0.3677E+01  0.1160E-04  0.2993E+01  0.4761E+00    1.0000  0.0000E+00
  0.3200  -0.266E-03 -0.3576E+01  0.1333E-04  0.2992E+01  0.4760E+00    1.0000  0.0000E+00
  0.3200  -0.335E-03 -0.3475E+01  0.1533E-04  0.2991E+01  0.4758E+00    1.0000  0.0000E+00
  0.3200  -0.423E-03 -0.3374E+01  0.1762E-04  0.2990E+01  0.4756E+00    1.0000  0.0000E+00
  0.3200  -0.534E-03 -0.3273E+01  0.2026E-04  0.2988E+01  0.4754E+00    1.0000  0.0000E+00
  0.3200  -0.673E-03 -0.3172E+01  0.2330E-04  0.2986E+01  0.4751E+00    1.0000  0.0000E+00
  0.3200  -0.850E-03 -0.3071E+01  0.2679E-04  0.2984E+01  0.4748E+00    1.0000  0.0000E+00
  0.3200  -0.107E-02 -0.2970E+01  0.3080E-04  0.2982E+01  0.4745E+00    1.0000  0.8846E-31
  0.3200  -0.135E-02 -0.2869E+01  0.3541E-04  0.2979E+01  0.4741E+00    1.0000  0.8846E-31
  0.3200  -0.171E-02 -0.2768E+01  0.4071E-04  0.2976E+01  0.4736E+00    1.0000  0.8846E-31
  0.3200  -0.215E-02 -0.2667E+01  0.4681E-04  0.2972E+01  0.4731E+00    1.0000  0.8916E-30
  0.3200  -0.272E-02 -0.2566E+01  0.5382E-04  0.2968E+01  0.4725E+00    1.0000  0.3445E-29
  0.3200  -0.343E-02 -0.2465E+01  0.6188E-04  0.2963E+01  0.4718E+00    1.0000  0.8987E-29
  0.3200  -0.433E-02 -0.2364E+01  0.7115E-04  0.2958E+01  0.4710E+00    1.0000  0.3472E-28
  0.3200  -0.546E-02 -0.2263E+01  0.8180E-04  0.2952E+01  0.4700E+00    1.0000  0.1341E-27
  0.3200  -0.689E-02 -0.2162E+01  0.9405E-04  0.2944E+01  0.4690E+00    1.0000  0.5850E-27
