 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -77.727 0.1480   0.4505E-02  0.7731E-03 -0.4319E-03  0.0000E+00      -1  -0.144E-03   20.00  0.9845E+01  0.0000E+00
   2    -1.0000     -76.822 0.1486   0.4608E-02  0.7835E-03 -0.1780E-03  0.0000E+00      -1  -0.593E-04   20.00  0.8860E+01  0.0000E+00
   3    -2.0000     -75.806 0.1493   0.4723E-02  0.7952E-03  0.6320E-03  0.0000E+00      -1   0.211E-03   20.00  0.7826E+01  0.0000E+00
   4    -3.0000     -74.562 0.1504   0.5029E-02  0.8180E-03  0.1781E-02  0.0000E+00      -1   0.594E-03   20.00  0.6787E+01  0.0000E+00
   5    -4.0000     -73.108 0.1518   0.5416E-02  0.8461E-03  0.2679E-02  0.0000E+00      -1   0.893E-03   20.00  0.5786E+01  0.0000E+00
   6    -5.0000     -71.577 0.1532   0.5823E-02  0.8757E-03  0.2614E-02  0.0000E+00      -1   0.871E-03   20.00  0.4842E+01  0.0000E+00
   7    -6.0000     -70.203 0.1545   0.6188E-02  0.9022E-03  0.2547E-02  0.0000E+00      -1   0.849E-03   20.00  0.3965E+01  0.0000E+00
   8    -7.0000     -68.756 0.1559   0.6572E-02  0.9302E-03  0.2433E-02  0.0000E+00      -1   0.811E-03   20.00  0.3170E+01  0.0000E+00
   9    -8.0000     -67.457 0.1571   0.6917E-02  0.9553E-03  0.2317E-02  0.0000E+00      -1   0.772E-03   20.00  0.2473E+01  0.0000E+00
  10    -9.0000     -66.088 0.1584   0.7281E-02  0.9817E-03  0.2165E-02  0.0000E+00      -1   0.722E-03   20.00  0.1882E+01  0.0000E+00
  11   -10.0000     -64.859 0.1595   0.7607E-02  0.1005E-02  0.1243E-02  0.0000E+00      -1   0.414E-03   20.00  0.1399E+01  0.0000E+00
  12   -11.0000     -63.759 0.1606   0.7900E-02  0.1027E-02  0.1076E-02  0.0000E+00      -1   0.359E-03   20.00  0.1020E+01  0.0000E+00
  13   -12.0000     -62.588 0.1617   0.8211E-02  0.1049E-02  0.8877E-03  0.0000E+00      -1   0.296E-03   20.00  0.7372E+00  0.0000E+00
  14   -13.0000     -61.540 0.1626   0.8489E-02  0.1070E-02  0.3030E-03  0.0000E+00      -1   0.101E-03   20.00  0.5435E+00  0.0000E+00
  15   -14.0000     -60.516 0.1636   0.8761E-02  0.1089E-02  0.5133E-03  0.0000E+00      -1   0.171E-03   20.00  0.4300E+00  0.0000E+00
  16   -15.0000     -59.425 0.1648   0.9230E-02  0.1117E-02  0.1139E-02  0.0000E+00      -1   0.380E-03   20.00  0.3887E+00  0.0000E+00
  17   -16.0000     -58.273 0.1663   0.9929E-02  0.1153E-02  0.1799E-02  0.0000E+00      -1   0.600E-03   20.00  0.4287E+00  0.0000E+00
  18   -17.0000     -57.065 0.1678   0.1066E-01  0.1191E-02  0.1118E-02  0.0000E+00      -1   0.373E-03   20.00  0.5714E+00  0.0000E+00
  19   -18.0000     -56.056 0.1691   0.1127E-01  0.1222E-02  0.4339E-03  0.0000E+00      -1   0.145E-03   20.00  0.7992E+00  0.0000E+00
  20   -19.0000     -54.990 0.1705   0.1192E-01  0.1256E-02  0.1463E-03  0.0000E+00      -1   0.488E-04   20.00  0.1055E+01  0.0000E+00
  21   -20.0000     -54.029 0.1717   0.1251E-01  0.1286E-02 -0.1123E-02  0.0000E+00      -1  -0.374E-03   20.00  0.1294E+01  0.0000E+00
  22   -21.0000     -53.167 0.1728   0.1303E-01  0.1313E-02 -0.1419E-02  0.0000E+00      -1  -0.473E-03   20.00  0.1538E+01  0.0000E+00
  23   -22.0000     -52.248 0.1740   0.1359E-01  0.1341E-02 -0.1746E-02  0.0000E+00      -1  -0.582E-03   20.00  0.1794E+01  0.0000E+00
  24   -23.0000     -51.423 0.1750   0.1409E-01  0.1367E-02 -0.2586E-02  0.0000E+00      -1  -0.862E-03   20.00  0.2057E+01  0.0000E+00
  25   -24.0000     -50.614 0.1761   0.1458E-01  0.1393E-02 -0.2916E-02  0.0000E+00      -1  -0.972E-03   20.00  0.2318E+01  0.0000E+00
  26   -25.0000     -49.822 0.1771   0.1506E-01  0.1417E-02 -0.3252E-02  0.0000E+00      -1  -0.108E-02   20.00  0.2568E+01  0.0000E+00
  27   -26.0000     -49.046 0.1781   0.1553E-01  0.1442E-02 -0.3594E-02  0.0000E+00      -1  -0.120E-02   20.00  0.2798E+01  0.0000E+00
  28   -27.0000     -48.285 0.1791   0.1599E-01  0.1466E-02 -0.3942E-02  0.0000E+00      -1  -0.131E-02   20.00  0.3000E+01  0.0000E+00
  29   -28.0000     -47.539 0.1800   0.1645E-01  0.1489E-02 -0.2106E-02  0.0000E+00      -1  -0.702E-03   20.00  0.3167E+01  0.0000E+00
  30   -29.0000     -46.545 0.1817   0.1776E-01  0.1537E-02 -0.9220E-03  0.0000E+00      -1  -0.307E-03   20.00  0.3292E+01  0.0000E+00
  31   -30.0000     -45.640 0.1832   0.1898E-01  0.1580E-02 -0.1408E-02  0.0000E+00      -1  -0.469E-03   20.00  0.3371E+01  0.0000E+00
  32   -31.0000     -44.694 0.1849   0.2025E-01  0.1626E-02 -0.1352E-02  0.0000E+00      -1  -0.451E-03   20.00  0.3399E+01  0.0000E+00
  33   -32.0000     -43.773 0.1864   0.2149E-01  0.1671E-02 -0.1936E-02  0.0000E+00      -1  -0.645E-03   20.00  0.3376E+01  0.0000E+00
  34   -33.0000     -42.874 0.1880   0.2270E-01  0.1714E-02 -0.2556E-02  0.0000E+00      -1  -0.852E-03   20.00  0.3301E+01  0.0000E+00
  35   -34.0000     -41.997 0.1895   0.2388E-01  0.1757E-02 -0.3206E-02  0.0000E+00      -1  -0.107E-02   20.00  0.3179E+01  0.0000E+00
  36   -35.0000     -41.142 0.1909   0.2503E-01  0.1798E-02 -0.3181E-02  0.0000E+00      -1  -0.106E-02   20.00  0.3013E+01  0.0000E+00
  37   -36.0000     -40.252 0.1925   0.2623E-01  0.1841E-02 -0.3905E-02  0.0000E+00      -1  -0.130E-02   20.00  0.2813E+01  0.0000E+00
  38   -37.0000     -39.438 0.1939   0.2732E-01  0.1880E-02 -0.4624E-02  0.0000E+00      -1  -0.154E-02   20.00  0.2586E+01  0.0000E+00
  39   -38.0000     -38.591 0.1953   0.2846E-01  0.1921E-02 -0.4650E-02  0.0000E+00      -1  -0.155E-02   20.00  0.2343E+01  0.0000E+00
  40   -39.0000     -37.765 0.1967   0.2957E-01  0.1961E-02 -0.2441E-02  0.0000E+00      -1  -0.814E-03   20.00  0.2092E+01  0.0000E+00
  41   -40.0000     -36.760 0.1989   0.3228E-01  0.2029E-02  0.4697E-03  0.0000E+00      -1   0.157E-03   20.00  0.1841E+01  0.0000E+00
  42   -41.0000     -35.736 0.2012   0.3521E-01  0.2101E-02  0.2468E-03  0.0000E+00      -1   0.823E-04   20.00  0.1598E+01  0.0000E+00
  43   -42.0000     -34.744 0.2034   0.3806E-01  0.2171E-02  0.1454E-05  0.0000E+00      -1   0.485E-06   20.00  0.1368E+01  0.0000E+00
  44   -43.0000     -33.737 0.2056   0.4095E-01  0.2241E-02 -0.1275E-02  0.0000E+00      -1  -0.425E-03   20.00  0.1156E+01  0.0000E+00
  45   -44.0000     -32.804 0.2077   0.4362E-01  0.2307E-02 -0.2584E-02  0.0000E+00      -1  -0.861E-03   20.00  0.9657E+00  0.0000E+00
  46   -45.0000     -31.856 0.2098   0.4634E-01  0.2373E-02 -0.3061E-02  0.0000E+00      -1  -0.102E-02   20.00  0.8010E+00  0.0000E+00
  47   -46.0000     -30.936 0.2119   0.4898E-01  0.2438E-02 -0.4573E-02  0.0000E+00      -1  -0.152E-02   20.00  0.6650E+00  0.0000E+00
  48   -47.0000     -30.042 0.2139   0.5154E-01  0.2500E-02 -0.2038E-02  0.0000E+00      -1  -0.679E-03   20.00  0.5617E+00  0.0000E+00
  49   -48.0000     -29.018 0.2166   0.5689E-01  0.2591E-02  0.2580E-02  0.0000E+00      -1   0.860E-03   20.00  0.4978E+00  0.0000E+00
  50   -49.0000     -27.954 0.2196   0.6309E-01  0.2691E-02  0.3888E-02  0.0000E+00      -1   0.130E-02   20.00  0.4978E+00  0.0000E+00
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -77.310 0.1483   0.4553E-02  0.7779E-03 -0.1901E-07  0.0000E+00      -1  -0.634E-08   20.00  0.9238E+01  0.0000E+00
   2    -1.0000     -76.272 0.1490   0.4670E-02  0.7899E-03  0.3424E-03  0.0000E+00      -1   0.114E-03   20.00  0.8281E+01  0.0000E+00
   3    -2.0000     -75.165 0.1499   0.4870E-02  0.8064E-03  0.7308E-03  0.0000E+00      -1   0.244E-03   20.00  0.7270E+01  0.0000E+00
   4    -3.0000     -73.976 0.1510   0.5185E-02  0.8294E-03  0.1135E-02  0.0000E+00      -1   0.378E-03   20.00  0.6272E+01  0.0000E+00
   5    -4.0000     -72.730 0.1522   0.5516E-02  0.8534E-03  0.1458E-02  0.0000E+00      -1   0.486E-03   20.00  0.5324E+01  0.0000E+00
   6    -5.0000     -71.449 0.1534   0.5857E-02  0.8782E-03  0.1680E-02  0.0000E+00      -1   0.560E-03   20.00  0.4434E+01  0.0000E+00
   7    -6.0000     -70.156 0.1546   0.6200E-02  0.9031E-03  0.1797E-02  0.0000E+00      -1   0.599E-03   20.00  0.3606E+01  0.0000E+00
   8    -7.0000     -68.869 0.1558   0.6542E-02  0.9280E-03  0.1818E-02  0.0000E+00      -1   0.606E-03   20.00  0.2860E+01  0.0000E+00
   9    -8.0000     -67.600 0.1570   0.6879E-02  0.9525E-03  0.1761E-02  0.0000E+00      -1   0.587E-03   20.00  0.2207E+01  0.0000E+00
  10    -9.0000     -66.356 0.1581   0.7209E-02  0.9765E-03  0.1651E-02  0.0000E+00      -1   0.550E-03   20.00  0.1659E+01  0.0000E+00
  11   -10.0000     -65.141 0.1593   0.7532E-02  0.1000E-02  0.1510E-02  0.0000E+00      -1   0.503E-03   20.00  0.1215E+01  0.0000E+00
  12   -11.0000     -63.955 0.1604   0.7847E-02  0.1023E-02  0.1356E-02  0.0000E+00      -1   0.452E-03   20.00  0.8719E+00  0.0000E+00
  13   -12.0000     -62.795 0.1615   0.8156E-02  0.1045E-02  0.1202E-02  0.0000E+00      -1   0.401E-03   20.00  0.6231E+00  0.0000E+00
  14   -13.0000     -61.659 0.1625   0.8457E-02  0.1067E-02  0.1055E-02  0.0000E+00      -1   0.352E-03   20.00  0.4581E+00  0.0000E+00
  15   -14.0000     -60.545 0.1636   0.8753E-02  0.1089E-02  0.9101E-03  0.0000E+00      -1   0.303E-03   20.00  0.3672E+00  0.0000E+00
  16   -15.0000     -59.452 0.1648   0.9214E-02  0.1116E-02  0.7316E-03  0.0000E+00      -1   0.244E-03   20.00  0.3428E+00  0.0000E+00
  17   -16.0000     -58.386 0.1661   0.9860E-02  0.1149E-02  0.5043E-03  0.0000E+00      -1   0.168E-03   20.00  0.3939E+00  0.0000E+00
  18   -17.0000     -57.349 0.1674   0.1049E-01  0.1182E-02  0.2424E-03  0.0000E+00      -1   0.808E-04   20.00  0.5424E+00  0.0000E+00
