 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date:   0. 1.    Time:   1:**: 0
 Units: L = mm   , T = hours, M = M    



                               Node( 11)                                 Node( 21)                                 Node( 41)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          1.0000      -44.08  0.1859   20.000  0.1045E+00        -32.99  0.2073   20.000  0.2826E+01        -12.57  0.2728   20.000  0.5601E+01
          2.0000      -43.99  0.1861   20.000  0.6333E-01        -33.03  0.2072   20.000  0.2832E+01        -12.59  0.2728   20.000  0.5600E+01
          3.0000      -43.91  0.1862   20.000  0.3530E-01        -33.05  0.2072   20.000  0.2837E+01        -12.61  0.2727   20.000  0.5598E+01
          4.0000      -43.83  0.1863   20.000  0.1918E-01        -33.07  0.2071   20.000  0.2843E+01        -12.64  0.2726   20.000  0.5597E+01
          5.0000      -43.76  0.1865   20.000  0.8769E-02        -33.07  0.2071   20.000  0.2848E+01        -12.66  0.2725   20.000  0.5595E+01
          6.0000      -43.69  0.1866   20.000  0.3950E-02        -33.07  0.2071   20.000  0.2853E+01        -12.68  0.2724   20.000  0.5593E+01
          7.0000      -39.84  0.1932   20.000  0.6770E-01        -33.05  0.2072   20.000  0.2858E+01        -12.70  0.2723   20.000  0.5591E+01
          8.0000      -34.29  0.2045   20.000  0.1581E+01        -32.40  0.2086   20.000  0.2816E+01        -12.72  0.2722   20.000  0.5589E+01
          9.0000      -34.53  0.2040   20.000  0.2055E+01        -31.39  0.2109   20.000  0.2700E+01        -12.71  0.2723   20.000  0.5588E+01
         10.0000      -35.58  0.2016   20.000  0.2063E+01        -30.72  0.2124   20.000  0.2605E+01        -12.66  0.2724   20.000  0.5589E+01
         11.0000      -36.88  0.1987   20.000  0.1925E+01        -30.52  0.2129   20.000  0.2557E+01        -12.57  0.2728   20.000  0.5595E+01
         12.0000      -38.21  0.1960   20.000  0.1721E+01        -30.53  0.2128   20.000  0.2539E+01        -12.47  0.2733   20.000  0.5605E+01
         13.0000      -39.52  0.1937   20.000  0.1527E+01        -30.68  0.2125   20.000  0.2536E+01        -12.37  0.2737   20.000  0.5616E+01
         14.0000      -40.77  0.1916   20.000  0.1371E+01        -30.93  0.2119   20.000  0.2543E+01        -12.27  0.2741   20.000  0.5627E+01
         15.0000      -41.97  0.1895   20.000  0.1228E+01        -31.22  0.2112   20.000  0.2556E+01        -12.19  0.2745   20.000  0.5636E+01
         16.0000      -43.12  0.1876   20.000  0.1099E+01        -31.55  0.2105   20.000  0.2567E+01        -12.13  0.2747   20.000  0.5644E+01
         17.0000      -44.23  0.1856   20.000  0.9806E+00        -31.88  0.2098   20.000  0.2564E+01        -12.09  0.2749   20.000  0.5649E+01
         18.0000      -45.33  0.1838   20.000  0.8712E+00        -32.23  0.2090   20.000  0.2554E+01        -12.07  0.2750   20.000  0.5652E+01
         19.0000      -46.23  0.1822   20.000  0.7618E+00        -32.57  0.2082   20.000  0.2549E+01        -12.07  0.2750   20.000  0.5653E+01
         20.0000      -46.34  0.1819   20.000  0.6426E+00        -32.82  0.2077   20.000  0.2551E+01        -12.09  0.2749   20.000  0.5652E+01
         21.0000      -46.44  0.1819   20.000  0.5210E+00        -33.03  0.2072   20.000  0.2560E+01        -12.12  0.2748   20.000  0.5651E+01
         22.0000      -46.34  0.1820   20.000  0.4038E+00        -33.19  0.2068   20.000  0.2572E+01        -12.16  0.2746   20.000  0.5649E+01
         23.0000      -46.20  0.1823   20.000  0.2966E+00        -33.31  0.2066   20.000  0.2587E+01        -12.21  0.2744   20.000  0.5647E+01
         24.0000      -46.03  0.1826   20.000  0.2044E+00        -33.40  0.2064   20.000  0.2604E+01        -12.27  0.2741   20.000  0.5645E+01
end
