 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00 -0.19008E-07  0.00000E+00  0.49372E-07  0.00000E+00  0.00000E+00 -0.24457E-07  0.00000E+00  0.22084E-07 -0.77310E+02 -0.66316E+02 -0.27850E+02  0.00000E+00  0.00000E+00  0.87453E+01  0.00000E+00  0.42006E-08     14  0.00000E+00      0.000
       2.0000  0.00000E+00  0.00000E+00  0.14279E-07  0.00000E+00 -0.89410E-08  0.00000E+00  0.00000E+00 -0.24025E-07  0.00000E+00  0.17322E-07 -0.76896E+02 -0.66306E+02 -0.27754E+02  0.00000E+00  0.00000E+00  0.87453E+01  0.00000E+00  0.95552E-08     17  0.00000E+00      0.000
       3.0000  0.00000E+00  0.00000E+00  0.18175E-07  0.00000E+00 -0.14598E-07  0.00000E+00  0.00000E+00 -0.53336E-08  0.00000E+00  0.66581E-08 -0.76609E+02 -0.66301E+02 -0.27670E+02  0.00000E+00  0.00000E+00  0.87453E+01  0.00000E+00  0.28247E-07     19  0.00000E+00      0.000
       4.0000  0.00000E+00  0.00000E+00 -0.61721E-08  0.00000E+00 -0.18711E-07  0.00000E+00  0.00000E+00 -0.47447E-08  0.00000E+00 -0.16610E-08 -0.76397E+02 -0.66300E+02 -0.27594E+02  0.00000E+00  0.00000E+00  0.87453E+01  0.00000E+00  0.31922E-07     21  0.00000E+00      0.000
       5.0000  0.00000E+00  0.00000E+00 -0.18215E-08  0.00000E+00 -0.56649E-07  0.00000E+00  0.00000E+00 -0.65662E-08  0.00000E+00 -0.58310E-07 -0.76239E+02 -0.66302E+02 -0.27529E+02  0.00000E+00  0.00000E+00  0.87453E+01  0.00000E+00  0.31922E-07     22  0.00000E+00      0.000
       6.0000  0.00000E+00  0.00000E+00 -0.18202E-07  0.00000E+00  0.57441E-07  0.00000E+00  0.00000E+00 -0.24768E-07  0.00000E+00 -0.86881E-09 -0.76108E+02 -0.66305E+02 -0.27471E+02  0.00000E+00  0.00000E+00  0.87453E+01  0.00000E+00  0.31922E-07     23  0.00000E+00      0.000
       7.0000 -0.44581E+00  0.00000E+00 -0.44581E+00  0.00000E+00 -0.11007E-08 -0.44581E+00  0.00000E+00 -0.44581E+00  0.00000E+00 -0.22607E-07 -0.18968E+02 -0.49564E+02 -0.27416E+02  0.00000E+00  0.00000E+00  0.91911E+01  0.44581E+00  0.31922E-07     43  0.00000E+00      0.000
       8.0000  0.24165E-01  0.15516E-01  0.24165E-01  0.15516E-01 -0.56592E-07 -0.42164E+00  0.15516E-01 -0.42176E+00  0.15516E-01 -0.24011E-07 -0.40760E+02 -0.48426E+02 -0.27368E+02  0.00000E+00  0.00000E+00  0.91536E+01  0.44581E+00  0.24048E-01     49  0.00000E+00      0.000
