"TOA5","22951","CR1000X","22951","CR1000X.Std.07.02","CPU:yonatan 25092024_15min2.CR1X","12261","YoDATA"
"TIMESTAMP","RECORD","Batt_volt_Min","PTemp","scale(1)","scale(2)","TDTVWC(1)","TDTVWC(2)","TDTVWC(3)","TDTVWC(4)","TDTVWC(5)","TDTVWC(6)","TDTVWC(7)","TDTVWC(8)","TDTVWC(9)","TDTVWC(10)","TDTVWC(11)","TDTVWC(12)","TDTVWC(13)","TDTVWC(14)","TDTVWC(15)","TDTVWC(16)","TDTVWC(17)","TDTVWC(18)","TDTEC(1)","TDTEC(2)","TDTEC(3)","TDTEC(4)","TDTEC(5)","TDTEC(6)","TDTEC(7)","TDTEC(8)","TDTEC(9)","TDTEC(10)","TDTEC(11)","TDTEC(12)","TDTEC(13)","TDTEC(14)","TDTEC(15)","TDTEC(16)","TDTEC(17)","TDTEC(18)","TDTTEMP(1)","TDTTEMP(2)","TDTTEMP(3)","TDTTEMP(4)","TDTTEMP(5)","TDTTEMP(6)","TDTTEMP(7)","TDTTEMP(8)","TDTTEMP(9)","TDTTEMP(10)","TDTTEMP(11)","TDTTEMP(12)","TDTTEMP(13)","TDTTEMP(14)","TDTTEMP(15)","TDTTEMP(16)","TDTTEMP(17)","TDTTEMP(18)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-25 11:15:00",1,12.08,25.78,-0.22,-0.176,5.09,3.04,5.03,2.63,2.87,3.71,3.17,2.39,5.27,3.28,3.11,3.76,5.63,3.11,3.11,1.66,2.5,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,25.43,23.35,23.4,24.43,23.53,23.63,23.47,25.11,23.63,24.05,23.68,23.55,26,23.55,23.6,25.19,23.53,23.8
"2024-09-25 11:30:00",0,12.09,23.95,-0.288017272949219,0.00261688232421875,5.03,2.93,4.73,2.56,2.87,3.83,2.93,2.44,5.33,2.98,2.98,3.83,5.57,2.74,3.11,2.2,2.5,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,25.98,23.42,23.45,24.64,23.6,23.73,23.55,25.5,23.73,24.36,23.76,23.68,26.5,23.66,23.71,25.53,23.63,24
"2024-10-08 08:45:00",1,12.09,21.44,-0.182907104492187,-0.391624450683594,3.28,2.93,4.67,2.68,2.8,3.83,2.87,1.9,5.39,2.68,3.17,3.41,4.13,3.17,3.04,1.29,2.63,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,21.4,22.2,22.02,22.07,22.57,22.33,22.28,21.53,22.05,21.35,21.97,21.69,21.48,22.31,22.57,21.66,22.39,22.1
"2024-10-08 09:00:00",2,12.09,22.78,-0.16900634765625,-0.387504577636719,3.17,2.87,4.25,2.8,2.74,4.13,2.74,2.26,5.27,2.8,3.41,3.83,4.25,3.17,3.04,2.39,2.44,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,21.45,22.13,21.94,22.15,22.49,22.2,22.23,21.66,22,21.37,21.97,21.66,21.74,22.23,22.49,21.81,22.36,22.1
"2024-10-08 09:15:00",3,12.08,23.89,-0.208412170410156,-0.415458679199219,3.22,2.93,4.85,2.93,2.74,3.71,2.87,2.08,5.33,2.8,3.22,3.76,4.19,2.68,3.11,1.42,2.5,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.58,22.07,21.94,22.26,22.44,22.23,22.18,21.76,21.97,21.43,21.94,21.66,22.07,22.18,22.46,21.97,22.26,22.1
"2024-10-08 09:30:00",4,12.09,24.83,-0.316734313964844,-0.354629516601563,3.22,2.74,4.55,3.17,2.98,3.52,2.5,2.14,5.33,2.68,3.22,3.89,4.43,2.8,2.98,1.29,2.44,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.79,21.97,21.87,22.39,22.39,22.15,22.15,22.02,21.94,21.5,21.92,21.69,22.44,22.13,22.36,22.13,22.2,22.1
"2024-10-08 09:45:00",5,12.08,25.69,-0.39715576171875,-0.453865051269531,3.28,2.87,4.61,2.68,3.11,3.83,2.68,2.02,5.33,2.98,3.22,3.52,4.25,2.98,3.11,1.59,2.44,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.84,21.97,21.84,22.54,22.33,22.15,22.07,22.2,21.97,21.58,21.92,21.69,22.85,22.07,22.31,22.36,22.18,22.1
"2024-10-08 10:00:00",6,12.08,26.41,-0.395980834960938,-0.480567932128906,3.04,2.87,4.49,2.63,2.87,3.89,2.8,1.83,5.33,2.68,3.04,3.89,4.19,2.63,3.11,1.29,2.39,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.07,21.94,21.89,22.75,22.26,22.13,22.05,22.52,21.97,21.74,21.94,21.71,23.19,22.1,22.28,22.57,22.15,22.2
